lambda_lo,lambda_hi
6373.785239073876,6374.233314683551
6380.461446818352,6381.301581193041
6383.747368660936,6384.603911028447
6384.81756418395,6385.247021834486
6396.171654577872,6396.4619342651895
6398.747630005937,6399.5614301042715
6401.563999479314,6401.700989435952
6401.914002869986,6402.354388218406
6404.355515355119,6404.511591037352
6404.705592248021,6405.164767266068
6409.399205768538,6409.551517026195
6409.738895559922,6410.384290507312
6411.3677904284605,6411.649757367998
6415.554868566157,6416.393949832923
6418.181384892986,6419.01422823315
6420.645666597238,6421.530651755386
6426.119334861272,6427.866239107468
6431.521086856955,6432.39648646347
6434.066774586733,6435.041548748276
6435.753092946716,6436.637457285529
6440.599213325137,6442.243003072702
6442.8603321809915,6443.6889565641595
6444.2862667292875,6444.4515925034375
6444.639254907527,6447.38321332952
6447.671365032259,6447.7987004838715
6448.024443839853,6448.460693766187
6449.1006846049195,6450.019662729609
6450.802393406977,6451.66053299532
6452.148607549115,6452.288886600829
6452.470078353935,6453.545326649295
6454.395040136164,6454.5539381994495
6454.748300338647,6456.165240366652
6456.337849585511,6457.14714821113
6458.128198756498,6459.51166255409
6459.856132758278,6462.332888428059
6462.5437338398715,6464.099659996866
6464.441065933501,6470.1843343853225
6470.428649227755,6473.21339862237
6473.6177610693085,6475.521752178881
6475.699963664686,6476.552274805001
6476.7262082483585,6477.253553434754
6477.502481461411,6477.978701827413
6478.151942093542,6479.021074970634
6479.290628254627,6479.616413194798
6480.338397071925,6483.75425573982
6484.294643001012,6491.284567555093
6491.767815229977,6493.130248427862
6493.911258244614,6496.567248456367
6496.827372670698,6498.148941933917
6498.651905722421,6499.785837470211
6501.10978339859,6501.9804637970665
6502.669302550637,6506.345442973739
6507.134846901029,6508.013050471768
6508.853756385184,6510.926317404344
6513.074975379947,6514.449530444848
6514.845090496746,6515.631435083916
6515.8452953827455,6521.680027803099
6523.1037360769715,6524.317707327226
6524.5241511237955,6526.092242983947
6526.989857280401,6527.930363187337
6528.700468253667,6529.729293458822
6531.751542261986,6532.730199297172
6533.408197271967,6534.6272052932745
6535.126779193593,6537.392654811666
6537.6097224459245,6538.049168680942
6538.226530003974,6538.78167434853
6539.012627069611,6539.472559987965
6540.72835846718,6540.89811079966
6541.0859142388945,6542.538756285657
6543.321396729938,6546.451692298395
6546.638665557592,6547.958230182141
6548.823896575695,6551.2332308230925
6551.428964776032,6551.574870305012
6551.7886202320815,6552.24044274446
6553.269678562509,6557.479119354715
6558.315643202576,6560.037257905519
6560.227666541229,6560.7024131477565
6561.709532394991,6563.235169249184
6563.7127429540515,6566.384008926579
6567.709988426218,6568.7517577842345
6569.9664257580325,6571.478113621898
6571.688342583994,6573.053966126134
6573.252004984033,6574.25970019067
6574.762293776186,6577.048097872827
6580.389512856715,6581.261670843177
6581.964086767878,6583.0590745332265
6583.6144677363645,6585.653977164993
6586.462888945718,6586.617159044161
6586.823506837998,6588.993281143307
6589.177423354135,6589.330194960076
6589.538136998874,6590.679006770569
6594.279237501569,6596.507821261286
6598.244036204144,6599.147153548432
6600.4981463908725,6601.750617772254
6603.220157720689,6604.2522106698
6604.816685021087,6605.67922840772
6606.4095236263165,6606.50867270947
